gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,locus
ENSG00000266524.2,0.31333333333333335,1.0,47,150,GDF10,chr10,47300386,47313547,+,"chr10:47,300,386-47,313,547 (+)"
ENSG00000248144.5,0.25333333333333335,1.0,38,150,ADH1C,chr4,99336492,99353027,-,"chr4:99,336,492-99,353,027 (-)"
ENSG00000126787.12,0.25333333333333335,1.0,38,150,DLGAP5,chr14,55148112,55191678,-,"chr14:55,148,112-55,191,678 (-)"
ENSG00000123975.4,0.21333333333333335,1.0,32,150,CKS2,chr9,89311198,89316703,+,"chr9:89,311,198-89,316,703 (+)"
ENSG00000099953.9,0.21333333333333335,1.0,32,150,MMP11,chr22,23768226,23784316,+,"chr22:23,768,226-23,784,316 (+)"
ENSG00000123243.14,0.19333333333333333,1.0,29,150,ITIH5,chr10,7559270,7666998,-,"chr10:7,559,270-7,666,998 (-)"
ENSG00000167900.11,0.16666666666666666,1.0,25,150,TK1,chr17,78174075,78187233,-,"chr17:78,174,075-78,187,233 (-)"
ENSG00000101280.7,0.10666666666666667,1.0,16,150,ANGPT4,chr20,869899,916317,-,"chr20:869,899-916,317 (-)"
ENSG00000123485.11,0.08,1.0,12,150,HJURP,chr2,233833416,233854566,-,"chr2:233,833,416-233,854,566 (-)"
ENSG00000141338.13,0.06,1.0,9,150,ABCA8,chr17,68867292,68955392,-,"chr17:68,867,292-68,955,392 (-)"
ENSG00000164611.12,0.03333333333333333,1.0,5,150,PTTG1,chr5,160421822,160428744,+,"chr5:160,421,822-160,428,744 (+)"
ENSG00000079308.16,0.02666666666666667,1.0,4,150,TNS1,chr2,217799789,218002995,-,"chr2:217,799,789-218,002,995 (-)"
ENSG00000149090.11,0.02666666666666667,1.0,4,150,PAMR1,chr11,35431823,35530300,-,"chr11:35,431,823-35,530,300 (-)"
ENSG00000078549.14,0.02,1.0,3,150,ADCYAP1R1,chr7,31052461,31111479,+,"chr7:31,052,461-31,111,479 (+)"
ENSG00000165269.12,0.013333333333333334,1.0,2,150,AQP7,chr9,33383179,33402682,-,"chr9:33,383,179-33,402,682 (-)"
ENSG00000169679.14,0.006666666666666667,1.0,1,150,BUB1,chr2,110637698,110678114,-,"chr2:110,637,698-110,678,114 (-)"
ENSG00000079337.15,0.006666666666666667,1.0,1,150,RAPGEF3,chr12,47734367,47771040,-,"chr12:47,734,367-47,771,040 (-)"
ENSG00000135424.15,0.006666666666666667,1.0,1,150,ITGA7,chr12,55684568,55716043,-,"chr12:55,684,568-55,716,043 (-)"
ENSG00000162407.8,0.006666666666666667,1.0,1,150,PLPP3,chr1,56494747,56645301,-,"chr1:56,494,747-56,645,301 (-)"
ENSG00000198910.12,0.0,0.0,0,150,L1CAM,chrX,153861514,153909223,-,"chrX:153,861,514-153,909,223 (-)"
ENSG00000126895.13,0.0,0.0,0,150,AVPR2,chrX,153902531,153907166,+,"chrX:153,902,531-153,907,166 (+)"
ENSG00000067840.12,0.0,0.0,0,150,PDZD4,chrX,153802166,153830565,-,"chrX:153,802,166-153,830,565 (-)"
ENSG00000180879.13,0.0,0.0,0,150,SSR4,chrX,153793516,153798505,+,"chrX:153,793,516-153,798,505 (+)"
ENSG00000067829.18,0.0,0.0,0,150,IDH3G,chrX,153785766,153794523,-,"chrX:153,785,766-153,794,523 (-)"
ENSG00000184343.10,0.0,0.0,0,150,SRPK3,chrX,153776412,153785732,+,"chrX:153,776,412-153,785,732 (+)"
ENSG00000198753.11,0.0,0.0,0,150,PLXNB3,chrX,153764196,153779346,+,"chrX:153,764,196-153,779,346 (+)"
ENSG00000101986.11,0.0,0.0,0,150,ABCD1,chrX,153724868,153744762,+,"chrX:153,724,868-153,744,762 (+)"
ENSG00000185825.15,0.0,0.0,0,150,BCAP31,chrX,153700497,153724697,-,"chrX:153,700,497-153,724,697 (-)"
ENSG00000130821.15,0.0,0.0,0,150,SLC6A8,chrX,153688099,153696593,+,"chrX:153,688,099-153,696,593 (+)"
ENSG00000130822.15,0.0,0.0,0,150,PNCK,chrX,153669730,153689010,-,"chrX:153,669,730-153,689,010 (-)"
ENSG00000130829.17,0.0,0.0,0,150,DUSP9,chrX,153642492,153651326,+,"chrX:153,642,492-153,651,326 (+)"
ENSG00000262919.7,0.0,0.0,0,150,FAM58A,chrX,153587919,153600045,-,"chrX:153,587,919-153,600,045 (-)"
ENSG00000182492.15,0.0,0.0,0,150,BGN,chrX,153494939,153509554,+,"chrX:153,494,939-153,509,554 (+)"
ENSG00000213397.10,0.0,0.0,0,150,HAUS7,chrX,153447666,153495516,-,"chrX:153,447,666-153,495,516 (-)"
ENSG00000183479.12,0.0,0.0,0,150,TREX2,chrX,153444720,153470587,-,"chrX:153,444,720-153,470,587 (-)"
ENSG00000189420.8,0.0,0.0,0,150,ZFP92,chrX,153418322,153426481,+,"chrX:153,418,322-153,426,481 (+)"
ENSG00000063587.13,0.0,0.0,0,150,ZNF275,chrX,153334155,153360110,+,"chrX:153,334,155-153,360,110 (+)"
ENSG00000235961.5,0.0,0.0,0,150,PNMA6A,chrX,153072482,153075018,+,"chrX:153,072,482-153,075,018 (+)"
ENSG00000183837.9,0.0,0.0,0,150,PNMA3,chrX,153056409,153060467,+,"chrX:153,056,409-153,060,467 (+)"
ENSG00000147394.18,0.0,0.0,0,150,ZNF185,chrX,152914442,152973480,+,"chrX:152,914,442-152,973,480 (+)"
ENSG00000147383.10,0.0,0.0,0,150,NSDHL,chrX,152830967,152869729,+,"chrX:152,830,967-152,869,729 (+)"
ENSG00000147400.8,0.0,0.0,0,150,CETN2,chrX,152826973,152830777,-,"chrX:152,826,973-152,830,777 (-)"
ENSG00000102287.18,0.0,0.0,0,150,GABRE,chrX,151953124,151974680,-,"chrX:151,953,124-151,974,680 (-)"
ENSG00000130032.15,0.0,0.0,0,150,PRRG3,chrX,151695124,151705924,+,"chrX:151,695,124-151,705,924 (+)"
ENSG00000160131.13,0.0,0.0,0,150,VMA21,chrX,151396515,151409364,+,"chrX:151,396,515-151,409,364 (+)"
ENSG00000029993.14,0.0,0.0,0,150,HMGB3,chrX,150980509,150990775,+,"chrX:150,980,509-150,990,775 (+)"
ENSG00000102181.20,0.0,0.0,0,150,CD99L2,chrX,150766337,150898816,-,"chrX:150,766,337-150,898,816 (-)"
ENSG00000063601.16,0.0,0.0,0,150,MTMR1,chrX,150692971,150765103,+,"chrX:150,692,971-150,765,103 (+)"
ENSG00000171100.14,0.0,0.0,0,150,MTM1,chrX,150568619,150673322,+,"chrX:150,568,619-150,673,322 (+)"
ENSG00000013619.13,0.0,0.0,0,150,MAMLD1,chrX,150361422,150514178,+,"chrX:150,361,422-150,514,178 (+)"
ENSG00000197021.8,0.0,0.0,0,150,CXorf40B,chrX,149929527,149938811,-,"chrX:149,929,527-149,938,811 (-)"
ENSG00000283463.1,0.0,0.0,0,150,XX-FW81066F1.2,chrX,149929645,149931287,+,"chrX:149,929,645-149,931,287 (+)"
ENSG00000269556.7,0.0,0.0,0,150,TMEM185A,chrX,149596556,149631912,-,"chrX:149,596,556-149,631,912 (-)"
ENSG00000268738.2,0.0,0.0,0,150,HSFX2,chrX,149592515,149594716,-,"chrX:149,592,515-149,594,716 (-)"
ENSG00000197620.10,0.0,0.0,0,150,CXorf40A,chrX,149540355,149550510,+,"chrX:149,540,355-149,550,510 (+)"
ENSG00000283697.2,0.0,0.0,0,150,RP5-937E21.8,chrX,149548210,149549932,-,"chrX:149,548,210-149,549,932 (-)"
ENSG00000241489.7,0.0,0.0,0,150,AF011889.5,chrX,149482543,149533935,-,"chrX:149,482,543-149,533,935 (-)"
ENSG00000010404.17,0.0,0.0,0,150,IDS,chrX,149476990,149521096,-,"chrX:149,476,990-149,521,096 (-)"
ENSG00000102081.13,0.0,0.0,0,150,FMR1,chrX,147911951,147951125,+,"chrX:147,911,951-147,951,125 (+)"
ENSG00000179542.15,0.0,0.0,0,150,SLITRK4,chrX,143622790,143635777,-,"chrX:143,622,790-143,635,777 (-)"
ENSG00000182195.7,0.0,0.0,0,150,LDOC1,chrX,141175745,141177125,-,"chrX:141,175,745-141,177,125 (-)"
ENSG00000184258.6,0.0,0.0,0,150,CDR1,chrX,140782405,140784871,-,"chrX:140,782,405-140,784,871 (-)"
ENSG00000101974.14,0.0,0.0,0,150,ATP11C,chrX,139726346,139945276,-,"chrX:139,726,346-139,945,276 (-)"
ENSG00000129682.15,0.0,0.0,0,150,FGF13,chrX,138614731,139222777,-,"chrX:138,614,731-139,222,777 (-)"
ENSG00000147274.14,0.0,0.0,0,150,RBMX,chrX,136848004,136880764,-,"chrX:136,848,004-136,880,764 (-)"
ENSG00000129675.15,0.0,0.0,0,150,ARHGEF6,chrX,136665547,136782088,-,"chrX:136,665,547-136,782,088 (-)"
ENSG00000102245.7,0.0,0.0,0,150,CD40LG,chrX,136648193,136660390,+,"chrX:136,648,193-136,660,390 (+)"
ENSG00000102243.12,0.0,0.0,0,150,VGLL1,chrX,136532152,136556807,+,"chrX:136,532,152-136,556,807 (+)"
ENSG00000102241.11,0.0,0.0,0,150,HTATSF1,chrX,136497079,136512346,+,"chrX:136,497,079-136,512,346 (+)"
ENSG00000129680.15,0.0,0.0,0,150,MAP7D3,chrX,136213220,136256482,-,"chrX:136,213,220-136,256,482 (-)"
ENSG00000198689.10,0.0,0.0,0,150,SLC9A6,chrX,135973841,136047269,+,"chrX:135,973,841-136,047,269 (+)"
ENSG00000169446.5,0.0,0.0,0,150,MMGT1,chrX,135962070,135974063,-,"chrX:135,962,070-135,974,063 (-)"
ENSG00000165359.15,0.0,0.0,0,150,INTS6L,chrX,135520643,135582510,+,"chrX:135,520,643-135,582,510 (+)"
ENSG00000178947.8,0.0,0.0,0,150,SMIM10L2A,chrX,135421943,135428074,+,"chrX:135,421,943-135,428,074 (+)"
ENSG00000173275.12,0.0,0.0,0,150,ZNF449,chrX,135344796,135363152,+,"chrX:135,344,796-135,363,152 (+)"
ENSG00000186376.14,0.0,0.0,0,150,ZNF75D,chrX,135248920,135344087,-,"chrX:135,248,920-135,344,087 (-)"
ENSG00000196972.8,0.0,0.0,0,150,SMIM10L2B,chrX,135094987,135098634,-,"chrX:135,094,987-135,098,634 (-)"
ENSG00000203950.6,0.0,0.0,0,150,FAM127B,chrX,135050932,135052196,-,"chrX:135,050,932-135,052,196 (-)"
ENSG00000134590.13,0.0,0.0,0,150,FAM127A,chrX,135032366,135033546,+,"chrX:135,032,366-135,033,546 (+)"
ENSG00000212747.4,0.0,0.0,0,150,FAM127C,chrX,135020504,135022529,-,"chrX:135,020,504-135,022,529 (-)"
ENSG00000184785.5,0.0,0.0,0,150,SMIM10,chrX,134990938,134992473,+,"chrX:134,990,938-134,992,473 (+)"
ENSG00000101928.12,0.0,0.0,0,150,MOSPD1,chrX,134887626,134915267,-,"chrX:134,887,626-134,915,267 (-)"
ENSG00000156500.14,0.0,0.0,0,150,FAM122C,chrX,134796789,134854610,+,"chrX:134,796,789-134,854,610 (+)"
ENSG00000156504.16,0.0,0.0,0,150,FAM122B,chrX,134769566,134797232,-,"chrX:134,769,566-134,797,232 (-)"
ENSG00000170965.9,0.0,0.0,0,150,PLAC1,chrX,134565838,134764322,-,"chrX:134,565,838-134,764,322 (-)"
ENSG00000165704.14,0.0,0.0,0,150,HPRT1,chrX,134460153,134520513,+,"chrX:134,460,153-134,520,513 (+)"
ENSG00000156531.16,0.0,0.0,0,150,PHF6,chrX,134373253,134428791,+,"chrX:134,373,253-134,428,791 (+)"
ENSG00000203952.9,0.0,0.0,0,150,CCDC160,chrX,134237047,134246207,+,"chrX:134,237,047-134,246,207 (+)"
ENSG00000147257.13,0.0,0.0,0,150,GPC3,chrX,133535745,133985895,-,"chrX:133,535,745-133,985,895 (-)"
ENSG00000076716.8,0.0,0.0,0,150,GPC4,chrX,133300103,133415490,-,"chrX:133,300,103-133,415,490 (-)"
ENSG00000183434.9,0.0,0.0,0,150,TFDP3,chrX,133216669,133218348,-,"chrX:133,216,669-133,218,348 (-)"
ENSG00000171004.18,0.0,0.0,0,150,HS6ST2,chrX,132626016,132961395,-,"chrX:132,626,016-132,961,395 (-)"
ENSG00000076770.14,0.0,0.0,0,150,MBNL3,chrX,132369317,132489968,-,"chrX:132,369,317-132,489,968 (-)"
ENSG00000123728.9,0.0,0.0,0,150,RAP2C,chrX,132203024,132219480,-,"chrX:132,203,024-132,219,480 (-)"
ENSG00000134602.15,0.0,0.0,0,150,STK26,chrX,132023265,132075943,+,"chrX:132,023,265-132,075,943 (+)"
ENSG00000147255.18,0.0,0.0,0,150,IGSF1,chrX,131273506,131578899,-,"chrX:131,273,506-131,578,899 (-)"
ENSG00000147256.11,0.0,0.0,0,150,ARHGAP36,chrX,131058242,131089883,+,"chrX:131,058,242-131,089,883 (+)"
ENSG00000165675.16,0.0,0.0,0,150,ENOX2,chrX,130623369,130903317,-,"chrX:130,623,369-130,903,317 (-)"
ENSG00000134597.15,0.0,0.0,0,150,RBMX2,chrX,130401969,130413343,+,"chrX:130,401,969-130,413,343 (+)"
ENSG00000102078.15,0.0,0.0,0,150,SLC25A14,chrX,130339888,130373361,+,"chrX:130,339,888-130,373,361 (+)"
ENSG00000056277.15,0.0,0.0,0,150,ZNF280C,chrX,130202711,130268899,-,"chrX:130,202,711-130,268,899 (-)"
ENSG00000134594.4,0.0,0.0,0,150,RAB33A,chrX,130171649,130184870,+,"chrX:130,171,649-130,184,870 (+)"
ENSG00000156709.13,0.0,0.0,0,150,AIFM1,chrX,130129362,130165887,-,"chrX:130,129,362-130,165,887 (-)"
ENSG00000102034.16,0.0,0.0,0,150,ELF4,chrX,130064874,130110716,-,"chrX:130,064,874-130,110,716 (-)"
ENSG00000085185.15,0.0,0.0,0,150,BCORL1,chrX,129981107,130058083,+,"chrX:129,981,107-130,058,083 (+)"
ENSG00000156697.12,0.0,0.0,0,150,UTP14A,chrX,129906121,129929761,+,"chrX:129,906,121-129,929,761 (+)"
ENSG00000188706.12,0.0,0.0,0,150,ZDHHC9,chrX,129803288,129843909,-,"chrX:129,803,288-129,843,909 (-)"
ENSG00000122122.9,0.0,0.0,0,150,SASH3,chrX,129779979,129795201,+,"chrX:129,779,979-129,795,201 (+)"
ENSG00000122121.10,0.0,0.0,0,150,XPNPEP2,chrX,129738974,129769538,+,"chrX:129,738,974-129,769,538 (+)"
ENSG00000171388.11,0.0,0.0,0,150,APLN,chrX,129645259,129654937,-,"chrX:129,645,259-129,654,937 (-)"
ENSG00000122126.15,0.0,0.0,0,150,OCRL,chrX,129539849,129592561,+,"chrX:129,539,849-129,592,561 (+)"
ENSG00000102038.15,0.0,0.0,0,150,SMARCA1,chrX,129446501,129523500,-,"chrX:129,446,501-129,523,500 (-)"
ENSG00000198354.6,0.0,0.0,0,150,DCAF12L2,chrX,126163499,126166097,-,"chrX:126,163,499-126,166,097 (-)"
ENSG00000101972.18,0.0,0.0,0,150,STAG2,chrX,123960212,124422664,+,"chrX:123,960,212-124,422,664 (+)"
ENSG00000183918.15,0.0,0.0,0,150,SH2D1A,chrX,124227868,124373197,+,"chrX:124,227,868-124,373,197 (+)"
ENSG00000101966.12,0.0,0.0,0,150,XIAP,chrX,123859724,123913979,+,"chrX:123,859,724-123,913,979 (+)"
ENSG00000125676.19,0.0,0.0,0,150,THOC2,chrX,123600561,123733056,-,"chrX:123,600,561-123,733,056 (-)"
ENSG00000125675.17,0.0,0.0,0,150,GRIA3,chrX,123184153,123490915,+,"chrX:123,184,153-123,490,915 (+)"
ENSG00000182890.4,0.0,0.0,0,150,GLUD2,chrX,121047588,121050080,+,"chrX:121,047,588-121,050,080 (+)"
ENSG00000171155.7,0.0,0.0,0,150,C1GALT1C1,chrX,120625793,120630150,-,"chrX:120,625,793-120,630,150 (-)"
ENSG00000232119.7,0.0,0.0,0,150,MCTS1,chrX,120594010,120621074,+,"chrX:120,594,010-120,621,074 (+)"
ENSG00000158290.16,0.0,0.0,0,150,CUL4B,chrX,120524609,120575794,-,"chrX:120,524,609-120,575,794 (-)"
ENSG00000005893.15,0.0,0.0,0,150,LAMP2,chrX,120427827,120469365,-,"chrX:120,427,827-120,469,365 (-)"
ENSG00000125355.15,0.0,0.0,0,150,TMEM255A,chrX,120258650,120311556,-,"chrX:120,258,650-120,311,556 (-)"
ENSG00000177485.6,0.0,0.0,0,150,ZBTB33,chrX,120250752,120258398,+,"chrX:120,250,752-120,258,398 (+)"
ENSG00000101883.4,0.0,0.0,0,150,RHOXF1,chrX,120109053,120115937,-,"chrX:120,109,053-120,115,937 (-)"
ENSG00000101882.9,0.0,0.0,0,150,NKAP,chrX,119920672,119943772,-,"chrX:119,920,672-119,943,772 (-)"
ENSG00000125356.6,0.0,0.0,0,150,NDUFA1,chrX,119871487,119876662,+,"chrX:119,871,487-119,876,662 (+)"
ENSG00000125352.5,0.0,0.0,0,150,RNF113A,chrX,119870475,119871827,-,"chrX:119,870,475-119,871,827 (-)"
ENSG00000125351.11,0.0,0.0,0,150,UPF3B,chrX,119805311,119852998,-,"chrX:119,805,311-119,852,998 (-)"
ENSG00000198918.7,0.0,0.0,0,150,RPL39,chrX,119786504,119791643,-,"chrX:119,786,504-119,791,643 (-)"
ENSG00000187808.4,0.0,0.0,0,150,SOWAHD,chrX,119758613,119760164,+,"chrX:119,758,613-119,760,164 (+)"
ENSG00000125354.22,0.0,0.0,0,150,SEPT6,chrX,119615724,119693370,-,"chrX:119,615,724-119,693,370 (-)"
ENSG00000186416.13,0.0,0.0,0,150,NKRF,chrX,119588337,119605895,-,"chrX:119,588,337-119,605,895 (-)"
ENSG00000077721.15,0.0,0.0,0,150,UBE2A,chrX,119574467,119591083,+,"chrX:119,574,467-119,591,083 (+)"
ENSG00000018610.13,0.0,0.0,0,150,CXorf56,chrX,119538149,119565408,-,"chrX:119,538,149-119,565,408 (-)"
ENSG00000005022.5,0.0,0.0,0,150,SLC25A5,chrX,119468400,119471319,+,"chrX:119,468,400-119,471,319 (+)"
ENSG00000077713.18,0.0,0.0,0,150,SLC25A43,chrX,119399060,119454478,+,"chrX:119,399,060-119,454,478 (+)"
ENSG00000101856.9,0.0,0.0,0,150,PGRMC1,chrX,119236245,119244466,+,"chrX:119,236,245-119,244,466 (+)"
ENSG00000175556.16,0.0,0.0,0,150,LONRF3,chrX,118974614,119018355,+,"chrX:118,974,614-119,018,355 (+)"
ENSG00000131724.10,0.0,0.0,0,150,IL13RA1,chrX,118727572,118794539,+,"chrX:118,727,572-118,794,539 (+)"
ENSG00000147251.15,0.0,0.0,0,150,DOCK11,chrX,118495898,118686163,+,"chrX:118,495,898-118,686,163 (+)"
ENSG00000131725.13,0.0,0.0,0,150,WDR44,chrX,118346073,118449961,+,"chrX:118,346,073-118,449,961 (+)"
ENSG00000003096.14,0.0,0.0,0,150,KLHL13,chrX,117897813,118117340,-,"chrX:117,897,813-118,117,340 (-)"
ENSG00000268104.2,0.0,0.0,0,150,SLC6A14,chrX,116436622,116461458,+,"chrX:116,436,622-116,461,458 (+)"
ENSG00000102024.17,0.0,0.0,0,150,PLS3,chrX,115561174,115650861,+,"chrX:115,561,174-115,650,861 (+)"
ENSG00000130224.14,0.0,0.0,0,150,LRCH2,chrX,115110616,115234072,-,"chrX:115,110,616-115,234,072 (-)"
ENSG00000123496.7,0.0,0.0,0,150,IL13RA2,chrX,115003975,115019977,-,"chrX:115,003,975-115,019,977 (-)"
ENSG00000126016.15,0.0,0.0,0,150,AMOT,chrX,112774503,112840815,-,"chrX:112,774,503-112,840,815 (-)"
ENSG00000182508.13,0.0,0.0,0,150,LHFPL1,chrX,112630648,112680054,-,"chrX:112,630,648-112,680,054 (-)"
ENSG00000101901.11,0.0,0.0,0,150,ALG13,chrX,111665811,111760649,+,"chrX:111,665,811-111,760,649 (+)"
ENSG00000077274.8,0.0,0.0,0,150,CAPN6,chrX,111245103,111270523,-,"chrX:111,245,103-111,270,523 (-)"
ENSG00000077264.14,0.0,0.0,0,150,PAK3,chrX,110944285,111227361,+,"chrX:110,944,285-111,227,361 (+)"
ENSG00000101938.14,0.0,0.0,0,150,CHRDL1,chrX,110673856,110795819,-,"chrX:110,673,856-110,795,819 (-)"
ENSG00000101935.9,0.0,0.0,0,150,AMMECR1,chrX,110194186,110440233,-,"chrX:110,194,186-110,440,233 (-)"
ENSG00000157600.11,0.0,0.0,0,150,TMEM164,chrX,110002631,110182734,+,"chrX:110,002,631-110,182,734 (+)"
ENSG00000068366.19,0.0,0.0,0,150,ACSL4,chrX,109624244,109733403,-,"chrX:109,624,244-109,733,403 (-)"
