gene,f_score,p_value,chrom,start,genome_pos,cytoband
HOXA4,439.89348004658706,2.4242518916249032e-73,chr7,27128524.0,1259132827.0,7p15.2
NPR1,439.4341692605398,2.765500939829452e-73,chr1,153678687.0,153678687.0,1q21.3
PAQR4,439.1645404754613,2.987868907913431e-73,chr16,2969347.0,2403411564.0,16p13.3
CKS2,437.22287402556105,5.2179207969058386e-73,chr9,89311194.0,1625800106.0,9q22.2
CENPF,435.8006587907843,7.855029679698776e-73,chr1,214603194.0,214603194.0,1q41
MYOM1,434.93543404829717,1.0077326911405935e-72,chr18,3066806.0,2577104809.0,18p11.31
EPB42,434.8170049212872,1.0427068507244549e-72,chr15,43197227.0,2341648255.0,15q15.2
C14orf139,433.9345819765124,1.3446772913062006e-72,chr14,95407265.0,2286814575.0,14q32.13
TPX2,432.32457789396136,2.1399074362302645e-72,chr20,31739289.0,2744768193.0,20q11.21
SVEP1,430.487970112091,3.638837665221318e-72,chr9,110365248.0,1646854160.0,9q31.3
HSPB7,429.9355186190534,4.269718223062233e-72,chr1,16014028.0,16014028.0,1p36.13
KCNIP2,429.73870627270156,4.5200716866076754e-72,chr10,101825973.0,1776709602.0,10q24.32
LYVE1,424.96470946357636,1.806674989552215e-71,chr11,10556965.0,1819238016.0,11p15.4
C1orf213,423.88594921946094,2.4731273076569607e-71,chr1,23368970.0,23368970.0,1p36.12
CLEC3B,422.2806619730037,3.948591724313233e-71,chr3,45026302.0,536176253.0,3p21.31
TK1,421.88610237921944,4.430318218634303e-71,chr17,78174078.0,2568954640.0,17q25.3
HEPACAM,421.1427788489368,5.50390769304954e-71,chr11,124919204.0,1933600255.0,11q24.2
ENTPD7,418.8164043645962,1.0865590093383602e-70,chr10,99659508.0,1774543137.0,10q24.2
KCNJ16,417.955570250549,1.3980681046988412e-70,chr17,70075224.0,2560855786.0,17q24.3
C16orf59,415.73437128668854,2.6818904008465957e-70,chr16,2460108.0,2402902325.0,16p13.3
PCK1,415.0248946903475,3.303233687218608e-70,chr20,57561109.0,2770590013.0,20q13.31
NUF2,412.207961062239,7.566474550635424e-70,chr1,163321953.0,163321953.0,1q23.3
ANXA1,412.0800968781064,7.856996108310191e-70,chr9,73151864.0,1609640776.0,9q21.13
CXCL3,410.66369991071224,1.1930420995013175e-69,chr4,74036590.0,763482100.0,4q13.3
MAP1LC3C,409.1553463571907,1.8625876000328157e-69,chr1,241995489.0,241995489.0,1q43
ROBO3,408.4073989576165,2.323578749213649e-69,chr11,124865431.0,1933546482.0,11q24.2
PCDH9,404.8568783964572,6.653586448645845e-69,chr13,66302833.0,2143345815.0,13q21.32
MKI67,404.4410378081914,7.527932236027557e-69,chr10,128096660.0,1802980289.0,10q26.2
CFL2,399.5091862032163,3.2683957942196705e-68,chr14,34709112.0,2226116422.0,14q13.1
PPAP2B,398.4047892091718,4.545331897294329e-68,chr1,56494760.0,56494760.0,1p32.2
CORO2B,397.7463788755818,5.533917040389424e-68,chr15,68518372.0,2366969400.0,15q23
TNAP,396.24329043374007,8.676832993163959e-68,chr1,21508983.0,21508983.0,1p36.12
AQP7P2,396.07141069746393,9.135164823536892e-68,,,,
CDC25C,392.58613299503673,2.599385441040045e-67,chr5,138285264.0,1017945329.0,5q31.2
SCARA5,391.7610894671538,3.3313246614541955e-67,chr8,27869882.0,1419220158.0,8p21.1
CRB3,391.15352369054705,3.999633474372896e-67,chr19,6463776.0,2660875064.0,19p13.3
CAV3,389.9302577813167,5.781496463533305e-67,chr3,8733801.0,499883752.0,3p25.3
CAT,387.1341673102243,1.344513682182014e-66,chr11,34438933.0,1843119984.0,11p13
GSN,386.52249109775624,1.6176615790392969e-66,chr9,121201482.0,1657690394.0,9q33.2
LRRC2,385.9062141137446,1.9492412649928467e-66,chr3,46515387.0,537665338.0,3p21.31
EFHA2,385.60541199884693,2.1350561501579634e-66,chr8,17027237.0,1408377513.0,8p22
VWCE,384.3356897524742,3.136632849896147e-66,chr11,61258285.0,1869939336.0,11q12.2
ADH5,383.08652589578315,4.5817105323316527e-66,chr4,99070978.0,788516488.0,4q23
ABCA9,382.94820534099046,4.778185436951875e-66,chr17,68974487.0,2559755049.0,17q24.2
DKFZp762E1312,382.6517664156348,5.228204174608298e-66,,,,
LGI4,382.60420106059127,5.30427220144094e-66,chr19,35124512.0,2689535800.0,19q13.12
ITGA7,382.23943984438154,5.925751561612087e-66,chr12,55684569.0,1999452242.0,12q13.2
KIF4A,381.5801702047383,7.240315612557996e-66,chrX,70290103.0,2945291625.0,Xq13.1
KIF20A,378.90018330377933,1.6371602429098197e-65,chr5,138179111.0,1017839176.0,5q31.2
PPAPDC1A,378.4422035395036,1.8825292954697128e-65,chr10,120456953.0,1795340582.0,10q26.12
ASPM,377.29284169576744,2.673498694222827e-65,chr1,197084126.0,197084126.0,1q31.3
ASPA,377.2612396191641,2.6994242453832228e-65,chr17,3474109.0,2494254671.0,17p13.2
BUB1B,374.3270441853114,6.622417134783111e-65,chr15,40161068.0,2338612096.0,15q15.1
ADH4,373.4148934459551,8.758306368012842e-65,chr4,99123656.0,788569166.0,4q23
PPARG,372.6282947459662,1.1148242751161564e-64,chr3,12287367.0,503437318.0,3p25.2
DACT2,371.8045982213568,1.4355796737798425e-64,chr6,168292829.0,1229491153.0,6q27
DLG7,370.5704061374623,2.097761023802204e-64,chr14,55148134.0,2246555444.0,14q22.3
TSPAN7,368.750467569899,3.673287042318149e-64,chrX,38561541.0,2913563063.0,Xp11.4
OIP5,368.6399722135675,3.8005063496032735e-64,chr15,41309267.0,2339760295.0,15q15.1
KIF23,366.65781444865723,7.004679537149392e-64,chr15,69414348.0,2367865376.0,15q23
GPRASP1,366.5037217956089,7.346070528251233e-64,chrX,102651365.0,2977652887.0,Xq22.1
HBD,366.1430632980234,8.211822460944722e-64,chr11,5232837.0,1813913888.0,11p15.4
EBF1,364.7323799964694,1.27018820458138e-63,chr5,158695919.0,1038355984.0,5q33.3
HMMR,364.62180932453407,1.3144001341922952e-63,chr5,163460631.0,1043120696.0,5q34
ADAM33,363.6825637189785,1.7580137867510295e-63,chr20,3667974.0,2716696878.0,20p13
FGF2,363.6729234528392,1.7632715309288963e-63,chr4,122826707.0,812272217.0,4q28.1
NUSAP1,363.3068801361812,1.9750283184494529e-63,chr15,41332880.0,2339783908.0,15q15.1
UBE2T,362.81479347632063,2.300476011535227e-63,chr1,202331656.0,202331656.0,1q32.1
LIFR,361.10691321349606,3.908405360869544e-63,chr5,38474667.0,918134732.0,5p13.1
PDK4,361.0461277848736,3.9829029587814015e-63,chr7,95583500.0,1327587803.0,7q21.3
FAM13A1,360.9273826215461,4.1325708412230126e-63,chr4,88725953.0,778171463.0,4q22.1
SLC16A7,360.6588845590223,4.4921303040837383e-63,chr12,59596028.0,2003363701.0,12q14.1
KIAA0101,360.08766893204273,5.364984721434338e-63,chr15,64364303.0,2362815331.0,15q22.31
NPY2R,359.0018687248997,7.521154162053027e-63,chr4,155173722.0,844619232.0,4q32.1
GNG11,358.9719684970428,7.591490970114588e-63,chr7,93921734.0,1325926037.0,7q21.3
EFCBP1,358.7545499809348,8.123187921030908e-63,chr8,90791774.0,1482142050.0,8q21.3
DTL,358.7202736887054,8.210355745817641e-63,chr1,212035552.0,212035552.0,1q32.3
NUP210,357.6266433964045,1.1543877731169008e-62,chr3,13316234.0,504466185.0,3p25.1
SH3D19,356.9142304360375,1.441610700471686e-62,chr4,151120280.0,840565790.0,4q31.3
USP44,356.18810777127595,1.8083258739904786e-62,chr12,95516559.0,2039284232.0,12q22
LPL,355.80538539568346,2.0379187537929165e-62,chr8,19939252.0,1411289528.0,8p21.3
TACC3,355.2165678993679,2.449581896262194e-62,chr4,1721520.0,691167030.0,4p16.3
SGK2,354.1098705437723,3.462674611583554e-62,chr20,43559026.0,2756587930.0,20q13.12
CHL1,353.7458789946453,3.8805255773493056e-62,chr3,196595.0,491346546.0,3p26.3
CDKN3,353.66954904694245,3.974374955378173e-62,chr14,54396867.0,2245804177.0,14q22.2
ZWINT,352.4642719063757,5.7977320228655024e-62,chr10,56357227.0,1731240856.0,10q21.1
C13orf3,351.1090637154952,8.869518296907011e-62,chr13,21153594.0,2098196576.0,13q12.11
LOC221091,349.52088674878405,1.46091507560386e-61,,,,
NKAPL,348.95907180313503,1.7433301271214804e-61,chr6,28259296.0,1089457620.0,6p22.1
KIF26B,348.85556187542846,1.8010514923234556e-61,chr1,245154984.0,245154984.0,1q44
LHFP,348.1533347286835,2.246672178359153e-61,chr13,39342891.0,2116385873.0,13q13.3
H2AFX,347.44098204866185,2.8119778483905663e-61,chr11,119093874.0,1927774925.0,11q23.3
ASF1B,347.0976803391618,3.133379850761901e-61,chr19,14119511.0,2668530799.0,19p13.12
HOXA2,346.79945734142,3.442362667620568e-61,chr7,27100353.0,1259104656.0,7p15.2
FREM1,346.6080703545331,3.656581280552993e-61,chr9,14737152.0,1551226064.0,9p22.3
ERCC6L,346.0837680942479,4.314480420518546e-61,chrX,72204664.0,2947206186.0,Xq13.1
RYR3,345.6571464728382,4.93656744696805e-61,chr15,33310966.0,2331761994.0,15q13.3
TMEM22,345.45850425249483,5.2561924295200776e-61,chr3,136819018.0,627968969.0,3q22.3
RABIF,344.61516425380535,6.861366614342107e-61,chr1,202878281.0,202878281.0,1q32.1
NPHP3,344.2179342849922,7.779697674877333e-61,chr3,132680608.0,623830559.0,3q22.1
PROS1,344.0297970053813,8.25672892526382e-61,chr3,93873050.0,585023001.0,3q11.1
PALMD,343.9087485099954,8.57906206225158e-61,chr1,99646112.0,99646112.0,1p21.2
NRG2,342.3984018885702,1.3840162282108856e-60,chr5,139846778.0,1019506843.0,5q31.2
GJB2,341.93313522858057,1.6039567643023498e-60,chr13,20187469.0,2097230451.0,13q12.11
GDF10,341.91747950664416,1.6119385517606738e-60,chr10,47300196.0,1722183825.0,10q11.22
ATP1A2,340.962940597943,2.1820243009972344e-60,chr1,160115758.0,160115758.0,1q23.2
GPD1,340.38819847027594,2.618846752657911e-60,chr12,50104007.0,1993871680.0,12q13.12
SSTR1,339.93537987672585,3.0240121527819476e-60,chr14,38207903.0,2229615213.0,14q21.1
ZFP106,339.4722810501509,3.503540059451565e-60,chr15,42412822.0,2340863850.0,15q15.1
FLVCR1,339.3352391529972,3.659567384421118e-60,chr1,212858274.0,212858274.0,1q32.3
CACHD1,339.0851703792536,3.962473363049733e-60,chr1,64470128.0,64470128.0,1p31.3
AOC3,338.96047623071684,4.1227896603097175e-60,chr17,42851183.0,2533631745.0,17q21.31
LIMS2,338.4992182292496,4.774502030321668e-60,chr2,127638380.0,376594802.0,2q14.3
UBE2C,336.9608699132467,7.793443953072482e-60,chr20,45812575.0,2758841479.0,20q13.12
ANLN,336.7782690167984,8.260616726853776e-60,chr7,36389861.0,1268394164.0,7p14.2
EGR1,336.66333509151195,8.568975276655836e-60,chr5,138465478.0,1018125543.0,5q31.2
TMEM100,336.34941222759795,9.471354584464985e-60,chr17,55719626.0,2546500188.0,17q22
LDB2,335.63666845739624,1.1890318881377897e-59,chr4,16501533.0,705947043.0,4p15.32
UBAP2L,335.38816280294,1.2872199173211188e-59,chr1,154220171.0,154220171.0,1q21.3
GPX3,335.22452493709164,1.3562783860085027e-59,chr5,151020590.0,1030680655.0,5q33.1
AKR1C1,334.96193198206305,1.474953016153977e-59,chr10,4963414.0,1679847043.0,10p15.1
PPEF1,333.23863756313443,2.559229691116926e-59,chrX,18675066.0,2893676588.0,Xp22.13
HSD17B6,333.0631115573717,2.707145724627762e-59,chr12,56763323.0,2000530996.0,12q13.3
SCN9A,332.49289459991877,3.249510743745735e-59,chr2,166195186.0,415151608.0,2q24.3
CDCA5,331.8979389052805,3.932039076501744e-59,chr11,65077452.0,1873758503.0,11q13.1
IL11RA,329.75313164973176,7.826344714723929e-59,chr9,34652184.0,1571141096.0,9p13.3
CRHBP,329.68476597150186,8.000171456143939e-59,chr5,76953044.0,956613109.0,5q13.3
SPTBN1,328.38389722790805,1.2155425003904396e-58,chr2,54456326.0,303412748.0,2p16.2
SRPX,327.50397109386745,1.6136241990568713e-58,chrX,38149334.0,2913150856.0,Xp11.4
ANGPTL1,327.5017100858973,1.614799805605271e-58,chr1,178849534.0,178849534.0,1q25.2
C9orf125,326.8848228818432,1.9698986398374817e-58,chr9,101473169.0,1637962081.0,9q31.1
ADRB2,325.5271150601359,3.05241825945763e-58,chr5,148826610.0,1028486675.0,5q32
C7orf41,324.0332783257191,4.9458854320838605e-58,chr7,30134985.0,1262139288.0,7p14.3
SLC19A3,323.3501727355054,6.168873784071939e-58,chr2,227683762.0,476640184.0,2q36.3
TOP2A,323.2970123669195,6.2759117768704435e-58,chr17,40388524.0,2531169086.0,17q21.2
UHRF1,323.2530803007277,6.3657737385966115e-58,chr19,4903079.0,2659314367.0,19p13.3
CDO1,323.1681809273564,6.543108288469752e-58,chr5,115804732.0,995464797.0,5q22.3
CNTNAP3,322.99041782106286,6.930634226169977e-58,chr9,39064709.0,1575553621.0,9p12
PPP1R12B,321.6934699809265,1.0549675409465454e-57,chr1,202348698.0,202348698.0,1q32.1
TESC,321.6581501703492,1.0671165877362053e-57,chr12,117038922.0,2060806595.0,12q24.22
ITM2A,321.4564403126989,1.1392391181993499e-57,chrX,79360383.0,2954361905.0,Xq21.1
HAGHL,321.0094779441741,1.316966920819004e-57,chr16,727105.0,2401169322.0,16p13.3
FN1,319.4938894338609,2.1542508647037435e-57,chr2,215360864.0,464317286.0,2q35
DLG3,319.46981207829685,2.1711731511650727e-57,chrX,70444834.0,2945446356.0,Xq13.1
CLCA4,318.8858730556066,2.6250476719573234e-57,chr1,86547077.0,86547077.0,1p22.3
CLEC4G,318.5712497645768,2.9078976097326124e-57,chr19,7728956.0,2662140244.0,19p13.2
RRM2,316.89254015433903,5.023049716241613e-57,chr2,10122567.0,259078989.0,2p25.1
CCT3,316.59485568131606,5.534899921290049e-57,chr1,156308960.0,156308960.0,1q22
DKFZP586H2123,316.21508759627204,6.264590869857145e-57,chr11,35431828.0,1844112879.0,11p13
TPO,315.19088442890757,8.75093684449622e-57,chr2,1413460.0,250369882.0,2p25.3
ABCA8,315.0550382298907,9.14788522014997e-57,chr17,68867286.0,2559647848.0,17q24.2
ZNF781,315.0450112753457,9.177890640737402e-57,chr19,37667750.0,2692079038.0,19q13.12
SNCA,314.9026489483759,9.614717735621181e-57,chr4,89724098.0,779169608.0,4q22.1
CDC2,314.75849355883236,1.0078312336201063e-56,chr10,60778330.0,1735661959.0,10q21.2
EDNRB,314.34337406154094,1.1542478694943548e-56,chr13,77895480.0,2154938462.0,13q22.3
PLSCR4,314.01369788095474,1.285595168902364e-56,chr3,146192335.0,637342286.0,3q24
C16orf75,313.9782126907765,1.3005983632807263e-56,chr16,11345437.0,2411787654.0,16p13.13
RHOXF1,313.41032966778266,1.566069416952292e-56,chrX,120109050.0,2995110572.0,Xq24
PBK,313.1910617919077,1.6825645766962785e-56,chr8,27809623.0,1419159899.0,8p21.1
GIPC2,312.948998776427,1.821297271347428e-56,chr1,78044969.0,78044969.0,1p31.1
PPAP2A,311.55276281488506,2.877644302277933e-56,chr5,55424841.0,935084906.0,5q11.2
TDRD10,311.15523221944716,3.27834473613852e-56,chr1,154502218.0,154502218.0,1q21.3
PRC1,310.5374353140189,4.01507140793039e-56,chr15,90966042.0,2389417070.0,15q26.1
DMN,310.2239034516607,4.45037133984465e-56,chr15,99105079.0,2397556107.0,15q26.3
CPN2,309.43063919315296,5.775229192118174e-56,chr3,194339767.0,685489718.0,3q29
KCNE1,308.6745522779802,7.405121889503848e-56,chr21,34446687.0,2811919758.0,21q22.12
MYLK,308.6560292672428,7.450377832229071e-56,chr3,123610048.0,614759999.0,3q21.1
HN1,308.41769563765087,8.058053265993914e-56,chr17,75135242.0,2565915804.0,17q25.1
C6orf129,308.39310525683413,8.123515176039069e-56,chr6,37482937.0,1098681261.0,6p21.2
TRIM59,307.95833057461675,9.373192704123533e-56,chr3,160435502.0,651585453.0,3q25.33
DLK2,307.88663239531263,9.597066153815651e-56,chr6,43450351.0,1104648675.0,6p21.1
RAG1AP1,307.1222886968125,1.2344426179693939e-55,chr1,155135374.0,155135374.0,1q22
KIF14,306.84010405509275,1.3547484779313271e-55,chr1,200551496.0,200551496.0,1q32.1
HHATL,306.3299542705667,1.602900840441014e-55,chr3,42692662.0,533842613.0,3p22.1
VGLL3,305.9982750179951,1.7882248993440503e-55,chr3,86937972.0,578087923.0,3p12.1
CLCN6,305.9291367288499,1.82948538686631e-55,chr1,11806095.0,11806095.0,1p36.22
CDCA8,305.35133661334794,2.2138695289435848e-55,chr1,37692515.0,37692515.0,1p34.3
TUSC5,304.9283334176123,2.5457776896521655e-55,chr17,1279661.0,2492060223.0,17p13.3
MELK,304.8410484616047,2.6202502477293285e-55,chr9,36572861.0,1573061773.0,9p13.2
RBM35A,304.74472375394316,2.704975795532119e-55,chr8,94641173.0,1485991449.0,8q22.1
SCN4A,304.41352955062183,3.017827569089021e-55,chr17,63938553.0,2554719115.0,17q23.3
RAD51,302.28493413693,6.1038454600554384e-55,chr15,40695173.0,2339146201.0,15q15.1
ZNF668,302.17852237215163,6.3228920856825076e-55,chr16,31060842.0,2431503059.0,16p11.2
GYG2,301.87747271512166,6.986274715238397e-55,chrX,2828821.0,2877830343.0,Xp22.33
FANCI,301.801024875905,7.165575973609789e-55,chr15,89243978.0,2387695006.0,15q26.1
AP1M2,301.3304795497424,8.375522904038397e-55,chr19,10572670.0,2664983958.0,19p13.2
TGFBR2,300.90830392041846,9.634697801427731e-55,chr3,30606501.0,521756452.0,3p24.1
RNASEH2A,299.84579156003093,1.3710452462394893e-54,chr19,12806583.0,2667217871.0,19p13.13
HIF3A,299.67342593887304,1.451858410468856e-54,chr19,46297041.0,2700708329.0,19q13.32
FAM83H,299.5384415423675,1.5184692823472193e-54,chr8,143723932.0,1535074208.0,8q24.3
S100B,299.3513146309122,1.615913919190172e-54,chr21,46598603.0,2824071674.0,21q22.3
BIRC5,298.6842006984363,2.0172722627878677e-54,chr17,78214252.0,2568994814.0,17q25.3
KIF2C,297.20663245608483,3.299282801093685e-54,chr1,44739836.0,44739836.0,1p34.1
ESCO2,297.08342605867676,3.437568330567062e-54,chr8,27774553.0,1419124829.0,8p21.1
G0S2,296.7652815974132,3.8221553169500864e-54,chr1,209675411.0,209675411.0,1q32.2
CASC5,296.600913049185,4.037477493224316e-54,chr15,40594248.0,2339045276.0,15q15.1
LSR,296.59179074675376,4.0497780500918073e-54,chr19,35249001.0,2689660289.0,19q13.12
NDC80,296.11295233257556,4.751128318911469e-54,chr18,2571556.0,2576609559.0,18p11.32
DEPDC1B,295.2099836032744,6.422527887182682e-54,chr5,60596911.0,940256976.0,5q12.1
HAS3,294.96364895577454,6.973361807484471e-54,chr16,69105652.0,2469547869.0,16q22.1
CCNB1,294.0780316013574,9.375695428506394e-54,chr5,69167009.0,948827074.0,5q13.2
CHRDL1,293.7105657331145,1.0601936907753485e-53,chrX,110673855.0,2985675377.0,Xq23
ZFP36,293.4086744040783,1.172891260873592e-53,chr19,39406846.0,2693818134.0,19q13.2
MEOX2,293.2859809754198,1.222060151245632e-53,chr7,15611211.0,1247615514.0,7p21.2
TMEM88,292.7201493136692,1.4769808788479595e-53,chr17,7855065.0,2498635627.0,17p13.1
KIF11,292.6346172338119,1.519908521336152e-53,chr10,92593129.0,1767476758.0,10q23.33
RBMS3,292.52491474814553,1.5768048473530033e-53,chr3,29281070.0,520431021.0,3p24.1
PLAC9,292.21431613553705,1.749756035156723e-53,chr10,80131660.0,1755015289.0,10q22.3
ABCA6,291.97111782364857,1.8983659673863203e-53,chr17,69078701.0,2559859263.0,17q24.2
PHYHIP,291.85229948128415,1.9755132618795827e-53,chr8,22219702.0,1413569978.0,8p21.3
OXTR,291.1543587694838,2.496595219312703e-53,chr3,8750408.0,499900359.0,3p25.3
GNAI1,290.98468408927266,2.6428758419593015e-53,chr7,80134830.0,1312139133.0,7q21.11
STRBP,290.9530882340039,2.6710506172790956e-53,chr9,123121268.0,1659610180.0,9q33.3
PCOLCE2,290.6276751863312,2.97936349164188e-53,chr3,142817873.0,633967824.0,3q23
CCDC36,289.7045561231906,4.0625618916054894e-53,chr3,49198427.0,540348378.0,3p21.31
CCNE2,289.26788330672133,4.704974869153805e-53,chr8,94880224.0,1486230500.0,8q22.1
FAM83D,287.55188359928013,8.38332580278797e-53,chr20,38926416.0,2751955320.0,20q11.23
LIPE,287.22573680100214,9.357317310583546e-53,chr19,42401513.0,2696812801.0,19q13.2
TIMP4,287.20534646719767,9.421852335372752e-53,chr3,12153067.0,503303018.0,3p25.2
ABCD2,287.0909817549134,9.792180756217178e-53,chr12,39550032.0,1983317705.0,12q12
TRIM11,286.5224267754328,1.186176645726753e-52,chr1,228393675.0,228393675.0,1q42.13
PSENEN,285.995807258502,1.4168579350324447e-52,chr19,35745650.0,2690156938.0,19q13.12
GPC3,285.841136982292,1.4928026999860077e-52,chrX,133535745.0,3008537267.0,Xq26.2
MYH1,285.83357807259694,1.4966171670079738e-52,chr17,10492309.0,2501272871.0,17p13.1
SCN4B,285.7035656819025,1.5637778450218613e-52,chr11,118133376.0,1926814427.0,11q23.3
PTTG1,285.4640132637918,1.6955448076283842e-52,chr5,160421854.0,1040081919.0,5q33.3
CLDN11,285.3927075546892,1.7368778668129365e-52,chr3,170418867.0,661568818.0,3q26.2
MAB21L1,285.0055845776993,1.9795768500468665e-52,chr13,35473788.0,2112516770.0,13q13.3
