gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,gene_type,mean_normal,mean_tumor,delta,locus
ENSG00000119771.14,1.0,1.0,150,150,KLHL29,chr2,23385217,23708611,+,protein_coding,-0.31947613,-1.3901874,-1.0707113,"chr2:23,385,217-23,708,611 (+)"
ENSG00000168874.12,1.0,1.0,150,150,ATOH8,chr2,85751344,85788066,+,protein_coding,0.11520034,-1.4548187,-1.570019,"chr2:85,751,344-85,788,066 (+)"
ENSG00000124440.15,1.0,1.0,150,150,HIF3A,chr19,46297046,46343433,+,protein_coding,-0.07989048,-1.7503387,-1.6704482,"chr19:46,297,046-46,343,433 (+)"
ENSG00000154258.16,1.0,1.0,150,150,ABCA9,chr17,68974488,69061064,-,protein_coding,0.47363612,-1.324013,-1.7976491,"chr17:68,974,488-69,061,064 (-)"
ENSG00000168079.16,1.0,1.0,150,150,SCARA5,chr8,27869882,27992727,-,protein_coding,0.89017093,-1.3559269,-2.2460978,"chr8:27,869,882-27,992,727 (-)"
ENSG00000154262.12,1.0,1.0,150,150,ABCA6,chr17,69078702,69141888,-,protein_coding,-0.1364574,-1.373139,-1.2366816,"chr17:69,078,702-69,141,888 (-)"
ENSG00000088325.15,0.9933333333333333,1.0,149,150,TPX2,chr20,31739271,31801805,+,protein_coding,-1.0822153,0.8242514,1.9064667,"chr20:31,739,271-31,801,805 (+)"
ENSG00000166803.11,0.9866666666666667,1.0,148,150,PCLAF,chr15,64364311,64387687,-,protein_coding,-1.6014998,-0.07485448,1.5266453,"chr15:64,364,311-64,387,687 (-)"
ENSG00000277494.1,0.98,1.0,147,150,GPIHBP1,chr8,143213193,143217170,+,protein_coding,0.9692735,-0.962753,-1.9320265,"chr8:143,213,193-143,217,170 (+)"
ENSG00000168477.17,0.98,1.0,147,150,TNXB,chr6,32041154,32115334,-,protein_coding,0.8740527,-0.8758186,-1.7498713,"chr6:32,041,154-32,115,334 (-)"
ENSG00000168497.4,0.96,1.0,144,150,SDPR,chr2,191834302,191847255,-,protein_coding,1.4060087,-0.6082114,-2.0142202,"chr2:191,834,302-191,847,255 (-)"
ENSG00000248144.5,0.9533333333333334,1.0,143,150,ADH1C,chr4,99336492,99353027,-,protein_coding,0.78809303,-1.222782,-2.010875,"chr4:99,336,492-99,353,027 (-)"
ENSG00000072163.19,0.9466666666666667,1.0,142,150,LIMS2,chr2,127638381,127681786,-,protein_coding,0.67144054,-0.58986,-1.2613006,"chr2:127,638,381-127,681,786 (-)"
ENSG00000137804.12,0.8933333333333333,1.0,134,150,NUSAP1,chr15,41332694,41381050,+,protein_coding,-0.95108,0.68526804,1.636348,"chr15:41,332,694-41,381,050 (+)"
ENSG00000181234.9,0.8866666666666667,1.0,133,150,TMEM132C,chr12,128267403,128707915,+,protein_coding,0.18243782,-1.4912852,-1.673723,"chr12:128,267,403-128,707,915 (+)"
ENSG00000180660.7,0.86,1.0,129,150,MAB21L1,chr13,35474182,35477209,-,protein_coding,-0.20781381,-1.4006258,-1.192812,"chr13:35,474,182-35,477,209 (-)"
ENSG00000123975.4,0.8466666666666667,1.0,127,150,CKS2,chr9,89311198,89316703,+,protein_coding,0.049424578,1.5243758,1.4749513,"chr9:89,311,198-89,316,703 (+)"
ENSG00000077152.9,0.78,1.0,117,150,UBE2T,chr1,202331657,202341980,-,protein_coding,-1.0559704,0.55770874,1.6136792,"chr1:202,331,657-202,341,980 (-)"
ENSG00000135424.15,0.7733333333333333,1.0,116,150,ITGA7,chr12,55684568,55716043,-,protein_coding,1.1434162,-0.66523594,-1.8086522,"chr12:55,684,568-55,716,043 (-)"
ENSG00000129467.13,0.7,1.0,105,150,ADCY4,chr14,24318349,24335093,-,protein_coding,0.4755709,-0.8807649,-1.3563358,"chr14:24,318,349-24,335,093 (-)"
ENSG00000163239.12,0.6066666666666667,1.0,91,150,TDRD10,chr1,154502219,154548147,+,protein_coding,-0.4566926,-1.5440862,-1.0873936,"chr1:154,502,219-154,548,147 (+)"
ENSG00000143476.17,0.48,1.0,72,150,DTL,chr1,212035553,212107400,+,protein_coding,-1.5047928,0.04756744,1.5523603,"chr1:212,035,553-212,107,400 (+)"
ENSG00000169252.5,0.44,1.0,66,150,ADRB2,chr5,148825245,148828687,+,protein_coding,0.20200148,-1.1632385,-1.36524,"chr5:148,825,245-148,828,687 (+)"
ENSG00000163884.3,0.4266666666666667,1.0,64,150,KLF15,chr3,126342635,126357442,-,protein_coding,0.4081298,-1.2469149,-1.6550447,"chr3:126,342,635-126,357,442 (-)"
ENSG00000179094.15,0.4,1.0,60,150,PER1,chr17,8140472,8156506,-,protein_coding,1.575791,-0.08869282,-1.6644838,"chr17:8,140,472-8,156,506 (-)"
ENSG00000167779.7,0.36666666666666664,1.0,55,150,IGFBP6,chr12,53097436,53102345,+,protein_coding,1.8967006,0.085262924,-1.8114377,"chr12:53,097,436-53,102,345 (+)"
ENSG00000198932.12,0.3333333333333333,1.0,50,150,GPRASP1,chrX,102651366,102659083,+,protein_coding,0.19404285,-0.9701417,-1.1641846,"chrX:102,651,366-102,659,083 (+)"
ENSG00000117724.12,0.3333333333333333,1.0,50,150,CENPF,chr1,214603195,214664588,+,protein_coding,-1.4245983,0.3351731,1.7597715,"chr1:214,603,195-214,664,588 (+)"
ENSG00000131747.14,0.32,1.0,48,150,TOP2A,chr17,40388516,40417950,-,protein_coding,-1.1836299,0.8756854,2.0593152,"chr17:40,388,516-40,417,950 (-)"
ENSG00000137225.12,0.31333333333333335,1.0,47,150,CAPN11,chr6,44158811,44184402,+,protein_coding,-0.5030411,-1.4937998,-0.9907587,"chr6:44,158,811-44,184,402 (+)"
ENSG00000211445.11,0.29333333333333333,1.0,44,150,GPX3,chr5,151020438,151028993,+,protein_coding,3.1306102,0.71237105,-2.418239,"chr5:151,020,438-151,028,993 (+)"
ENSG00000168490.13,0.29333333333333333,1.0,44,150,PHYHIP,chr8,22219704,22232341,-,protein_coding,-0.33317927,-1.4774804,-1.1443012,"chr8:22,219,704-22,232,341 (-)"
ENSG00000163431.12,0.2733333333333333,1.0,41,150,LMOD1,chr1,201896452,201946588,-,protein_coding,1.6378201,0.0126215,-1.6251986,"chr1:201,896,452-201,946,588 (-)"
ENSG00000134057.14,0.22,1.0,33,150,CCNB1,chr5,69167010,69178245,+,protein_coding,-0.53456265,0.85876906,1.3933318,"chr5:69,167,010-69,178,245 (+)"
ENSG00000187824.8,0.19333333333333333,1.0,29,150,TMEM220,chr17,10699015,10730316,-,protein_coding,-0.11816311,-1.0481018,-0.9299387,"chr17:10,699,015-10,730,316 (-)"
ENSG00000090889.11,0.14666666666666667,1.0,22,150,KIF4A,chrX,70290090,70420832,+,protein_coding,-1.702502,-0.041615535,1.6608865,"chrX:70,290,090-70,420,832 (+)"
ENSG00000175063.16,0.12666666666666668,1.0,19,150,UBE2C,chr20,45812576,45816957,+,protein_coding,-1.1782298,0.93163854,2.1098683,"chr20:45,812,576-45,816,957 (+)"
ENSG00000183807.7,0.12,1.0,18,150,FAM162B,chr6,116752197,116765723,-,protein_coding,-0.13549389,-1.2472041,-1.1117102,"chr6:116,752,197-116,765,723 (-)"
ENSG00000162407.8,0.12,1.0,18,150,PLPP3,chr1,56494747,56645301,-,protein_coding,1.6991148,0.5297897,-1.1693251,"chr1:56,494,747-56,645,301 (-)"
ENSG00000183155.4,0.08666666666666667,1.0,13,150,RABIF,chr1,202878957,202889135,-,protein_coding,-0.34675238,0.4956355,0.8423879,"chr1:202,878,957-202,889,135 (-)"
ENSG00000181856.14,0.08,1.0,12,150,SLC2A4,chr17,7281667,7288257,+,protein_coding,-0.07518438,-1.466297,-1.3911127,"chr17:7,281,667-7,288,257 (+)"
ENSG00000169744.12,0.08,1.0,12,150,LDB2,chr4,16501541,16898809,-,protein_coding,0.66941315,-0.44602907,-1.1154423,"chr4:16,501,541-16,898,809 (-)"
ENSG00000101280.7,0.07333333333333333,1.0,11,150,ANGPT4,chr20,869899,916317,-,protein_coding,-0.73801583,-1.7869173,-1.0489016,"chr20:869,899-916,317 (-)"
ENSG00000172987.12,0.05333333333333334,1.0,8,150,HPSE2,chr10,98457077,99235862,-,protein_coding,-0.5572068,-1.6731268,-1.1159201,"chr10:98,457,077-99,235,862 (-)"
ENSG00000124615.17,0.04,1.0,6,150,MOCS1,chr6,39899578,39934551,-,protein_coding,0.8673075,-0.2205536,-1.0878611,"chr6:39,899,578-39,934,551 (-)"
ENSG00000154134.14,0.03333333333333333,1.0,5,150,ROBO3,chr11,124865386,124881470,+,protein_coding,-0.20868781,-1.2887318,-1.080044,"chr11:124,865,386-124,881,470 (+)"
ENSG00000276043.4,0.03333333333333333,1.0,5,150,UHRF1,chr19,4903080,4962154,+,protein_coding,-1.5874407,-0.12223893,1.4652019,"chr19:4,903,080-4,962,154 (+)"
ENSG00000171848.13,0.02666666666666667,1.0,4,150,RRM2,chr2,10122328,10131419,+,protein_coding,-1.4700471,0.3504093,1.8204564,"chr2:10,122,328-10,131,419 (+)"
ENSG00000183010.16,0.02,1.0,3,150,PYCR1,chr17,81932384,81942412,-,protein_coding,0.012453027,1.3900768,1.3776237,"chr17:81,932,384-81,942,412 (-)"
ENSG00000122952.16,0.02,1.0,3,150,ZWINT,chr10,56357228,56361275,-,protein_coding,-0.6336434,0.7573925,1.3910359,"chr10:56,357,228-56,361,275 (-)"
ENSG00000130307.11,0.02,1.0,3,150,USHBP1,chr19,17249176,17282786,-,protein_coding,-0.2735649,-1.3258008,-1.0522358,"chr19:17,249,176-17,282,786 (-)"
ENSG00000128918.14,0.013333333333333334,1.0,2,150,ALDH1A2,chr15,57953424,58497866,-,protein_coding,-0.56543916,-1.4733778,-0.90793866,"chr15:57,953,424-58,497,866 (-)"
ENSG00000165269.12,0.013333333333333334,1.0,2,150,AQP7,chr9,33383179,33402682,-,protein_coding,0.66960955,-1.3722551,-2.0418646,"chr9:33,383,179-33,402,682 (-)"
ENSG00000101955.14,0.013333333333333334,1.0,2,150,SRPX,chrX,38149336,38220924,-,protein_coding,1.882441,0.16377267,-1.7186683,"chrX:38,149,336-38,220,924 (-)"
ENSG00000127564.16,0.006666666666666667,1.0,1,150,PKMYT1,chr16,2968024,2980539,-,protein_coding,-0.95366395,0.45844528,1.4121093,"chr16:2,968,024-2,980,539 (-)"
ENSG00000022267.16,0.006666666666666667,1.0,1,150,FHL1,chrX,136146702,136211359,+,protein_coding,1.9387041,-0.050298095,-1.9890022,"chrX:136,146,702-136,211,359 (+)"
ENSG00000079462.7,0.006666666666666667,1.0,1,150,PAFAH1B3,chr19,42297033,42303546,-,protein_coding,0.17252885,1.4290426,1.2565137,"chr19:42,297,033-42,303,546 (-)"
ENSG00000152580.8,0.006666666666666667,1.0,1,150,IGSF10,chr3,151425384,151458709,-,protein_coding,-0.122537605,-1.2423081,-1.1197705,"chr3:151,425,384-151,458,709 (-)"
ENSG00000106714.17,0.006666666666666667,1.0,1,150,CNTNAP3,chr9,39072767,39288315,-,protein_coding,-0.7292158,-1.6074895,-0.87827367,"chr9:39,072,767-39,288,315 (-)"
ENSG00000266524.2,0.006666666666666667,1.0,1,150,GDF10,chr10,47300386,47313547,+,protein_coding,-0.0299886,-1.446378,-1.4163893,"chr10:47,300,386-47,313,547 (+)"
ENSG00000184113.9,0.006666666666666667,1.0,1,150,CLDN5,chr22,19523024,19527545,-,protein_coding,1.4713672,-0.5645503,-2.0359175,"chr22:19,523,024-19,527,545 (-)"
ENSG00000101986.11,0.0,0.0,0,150,ABCD1,chrX,153724868,153744762,+,protein_coding,0.0098080095,0.05549661,0.0456886,"chrX:153,724,868-153,744,762 (+)"
ENSG00000185825.15,0.0,0.0,0,150,BCAP31,chrX,153700497,153724697,-,protein_coding,2.0175226,2.05471,0.037187338,"chrX:153,700,497-153,724,697 (-)"
ENSG00000130821.15,0.0,0.0,0,150,SLC6A8,chrX,153688099,153696593,+,protein_coding,0.3515197,0.36108357,0.009563863,"chrX:153,688,099-153,696,593 (+)"
ENSG00000130822.15,0.0,0.0,0,150,PNCK,chrX,153669730,153689010,-,protein_coding,-1.7592036,-1.4158282,0.34337533,"chrX:153,669,730-153,689,010 (-)"
ENSG00000130829.17,0.0,0.0,0,150,DUSP9,chrX,153642492,153651326,+,protein_coding,-1.6521274,-1.5167103,0.1354171,"chrX:153,642,492-153,651,326 (+)"
ENSG00000262919.7,0.0,0.0,0,150,FAM58A,chrX,153587919,153600045,-,protein_coding,0.23645699,0.4007903,0.16433331,"chrX:153,587,919-153,600,045 (-)"
ENSG00000182492.15,0.0,0.0,0,150,BGN,chrX,153494939,153509554,+,protein_coding,1.8003603,2.7043717,0.90401137,"chrX:153,494,939-153,509,554 (+)"
ENSG00000213397.10,0.0,0.0,0,150,HAUS7,chrX,153447666,153495516,-,protein_coding,-0.19380723,-0.25826934,-0.06446211,"chrX:153,447,666-153,495,516 (-)"
ENSG00000183479.12,0.0,0.0,0,150,TREX2,chrX,153444720,153470587,-,protein_coding,-0.011621675,-0.045846015,-0.03422434,"chrX:153,444,720-153,470,587 (-)"
ENSG00000189420.8,0.0,0.0,0,150,ZFP92,chrX,153418322,153426481,+,protein_coding,-1.3817633,-1.4149392,-0.033175826,"chrX:153,418,322-153,426,481 (+)"
ENSG00000063587.13,0.0,0.0,0,150,ZNF275,chrX,153334155,153360110,+,protein_coding,-0.18886079,-0.21592556,-0.02706477,"chrX:153,334,155-153,360,110 (+)"
ENSG00000235961.5,0.0,0.0,0,150,PNMA6A,chrX,153072482,153075018,+,protein_coding,-1.3145049,-1.3997635,-0.0852586,"chrX:153,072,482-153,075,018 (+)"
ENSG00000183837.9,0.0,0.0,0,150,PNMA3,chrX,153056409,153060467,+,protein_coding,-1.6092724,-1.621665,-0.01239264,"chrX:153,056,409-153,060,467 (+)"
ENSG00000147394.18,0.0,0.0,0,150,ZNF185,chrX,152914442,152973480,+,protein_coding,0.1575814,0.31936872,0.16178732,"chrX:152,914,442-152,973,480 (+)"
ENSG00000147383.10,0.0,0.0,0,150,NSDHL,chrX,152830967,152869729,+,protein_coding,0.50906974,0.7303429,0.22127318,"chrX:152,830,967-152,869,729 (+)"
ENSG00000147400.8,0.0,0.0,0,150,CETN2,chrX,152826973,152830777,-,protein_coding,0.9462169,1.4061714,0.45995456,"chrX:152,826,973-152,830,777 (-)"
ENSG00000102287.18,0.0,0.0,0,150,GABRE,chrX,151953124,151974680,-,protein_coding,0.41136408,-1.2629467,-1.6743108,"chrX:151,953,124-151,974,680 (-)"
ENSG00000130032.15,0.0,0.0,0,150,PRRG3,chrX,151695124,151705924,+,protein_coding,-0.9546882,-1.6876839,-0.73299575,"chrX:151,695,124-151,705,924 (+)"
ENSG00000160131.13,0.0,0.0,0,150,VMA21,chrX,151396515,151409364,+,protein_coding,0.23714022,0.515296,0.27815574,"chrX:151,396,515-151,409,364 (+)"
ENSG00000029993.14,0.0,0.0,0,150,HMGB3,chrX,150980509,150990775,+,protein_coding,-0.46602046,0.77332723,1.2393477,"chrX:150,980,509-150,990,775 (+)"
ENSG00000102181.20,0.0,0.0,0,150,CD99L2,chrX,150766337,150898816,-,protein_coding,0.6944559,0.3383725,-0.35608342,"chrX:150,766,337-150,898,816 (-)"
ENSG00000063601.16,0.0,0.0,0,150,MTMR1,chrX,150692971,150765103,+,protein_coding,0.13933717,0.24690051,0.10756335,"chrX:150,692,971-150,765,103 (+)"
ENSG00000171100.14,0.0,0.0,0,150,MTM1,chrX,150568619,150673322,+,protein_coding,-0.048102938,-0.05022927,-0.0021263324,"chrX:150,568,619-150,673,322 (+)"
ENSG00000013619.13,0.0,0.0,0,150,MAMLD1,chrX,150361422,150514178,+,protein_coding,-0.53548056,-0.9949928,-0.45951223,"chrX:150,361,422-150,514,178 (+)"
ENSG00000197021.8,0.0,0.0,0,150,CXorf40B,chrX,149929527,149938811,-,protein_coding,0.5009911,0.688271,0.18727988,"chrX:149,929,527-149,938,811 (-)"
ENSG00000283463.1,0.0,0.0,0,150,XX-FW81066F1.2,chrX,149929645,149931287,+,protein_coding,-0.9081227,-0.6805297,0.227593,"chrX:149,929,645-149,931,287 (+)"
ENSG00000269556.7,0.0,0.0,0,150,TMEM185A,chrX,149596556,149631912,-,protein_coding,-0.27155682,-0.14570168,0.12585515,"chrX:149,596,556-149,631,912 (-)"
ENSG00000268738.2,0.0,0.0,0,150,HSFX2,chrX,149592515,149594716,-,protein_coding,-0.9572294,-0.9024111,0.054818273,"chrX:149,592,515-149,594,716 (-)"
ENSG00000197620.10,0.0,0.0,0,150,CXorf40A,chrX,149540355,149550510,+,protein_coding,0.01835311,0.3804915,0.3621384,"chrX:149,540,355-149,550,510 (+)"
ENSG00000283697.2,0.0,0.0,0,150,RP5-937E21.8,chrX,149548210,149549932,-,protein_coding,-0.8821382,-0.57792586,0.30421233,"chrX:149,548,210-149,549,932 (-)"
ENSG00000241489.7,0.0,0.0,0,150,AF011889.5,chrX,149482543,149533935,-,protein_coding,0.86441886,0.641594,-0.22282487,"chrX:149,482,543-149,533,935 (-)"
ENSG00000010404.17,0.0,0.0,0,150,IDS,chrX,149476990,149521096,-,protein_coding,0.9478362,0.7860982,-0.16173804,"chrX:149,476,990-149,521,096 (-)"
ENSG00000102081.13,0.0,0.0,0,150,FMR1,chrX,147911951,147951125,+,protein_coding,0.1430646,0.21320243,0.07013783,"chrX:147,911,951-147,951,125 (+)"
ENSG00000179542.15,0.0,0.0,0,150,SLITRK4,chrX,143622790,143635777,-,protein_coding,-1.4285969,-1.3297251,0.09887171,"chrX:143,622,790-143,635,777 (-)"
ENSG00000182195.7,0.0,0.0,0,150,LDOC1,chrX,141175745,141177125,-,protein_coding,1.1528025,1.2511245,0.098322034,"chrX:141,175,745-141,177,125 (-)"
ENSG00000184258.6,0.0,0.0,0,150,CDR1,chrX,140782405,140784871,-,protein_coding,-1.1771514,-1.3650872,-0.18793571,"chrX:140,782,405-140,784,871 (-)"
ENSG00000101974.14,0.0,0.0,0,150,ATP11C,chrX,139726346,139945276,-,protein_coding,-0.039205056,-0.22152089,-0.18231583,"chrX:139,726,346-139,945,276 (-)"
ENSG00000129682.15,0.0,0.0,0,150,FGF13,chrX,138614731,139222777,-,protein_coding,-1.2940818,-1.219137,0.074944854,"chrX:138,614,731-139,222,777 (-)"
ENSG00000147274.14,0.0,0.0,0,150,RBMX,chrX,136848004,136880764,-,protein_coding,1.3051362,1.2173144,-0.08782184,"chrX:136,848,004-136,880,764 (-)"
ENSG00000129675.15,0.0,0.0,0,150,ARHGEF6,chrX,136665547,136782088,-,protein_coding,0.72187394,0.27978197,-0.44209197,"chrX:136,665,547-136,782,088 (-)"
ENSG00000102245.7,0.0,0.0,0,150,CD40LG,chrX,136648193,136660390,+,protein_coding,-1.3462626,-1.2205312,0.12573135,"chrX:136,648,193-136,660,390 (+)"
ENSG00000102243.12,0.0,0.0,0,150,VGLL1,chrX,136532152,136556807,+,protein_coding,-0.5526142,-1.0877523,-0.53513813,"chrX:136,532,152-136,556,807 (+)"
ENSG00000102241.11,0.0,0.0,0,150,HTATSF1,chrX,136497079,136512346,+,protein_coding,1.0970318,1.2823431,0.18531132,"chrX:136,497,079-136,512,346 (+)"
ENSG00000129680.15,0.0,0.0,0,150,MAP7D3,chrX,136213220,136256482,-,protein_coding,-0.117001705,-0.8884023,-0.7714006,"chrX:136,213,220-136,256,482 (-)"
ENSG00000198689.10,0.0,0.0,0,150,SLC9A6,chrX,135973841,136047269,+,protein_coding,-0.44467825,-0.62780297,-0.18312472,"chrX:135,973,841-136,047,269 (+)"
ENSG00000169446.5,0.0,0.0,0,150,MMGT1,chrX,135962070,135974063,-,protein_coding,0.50361586,0.46199846,-0.041617393,"chrX:135,962,070-135,974,063 (-)"
ENSG00000165359.15,0.0,0.0,0,150,INTS6L,chrX,135520643,135582510,+,protein_coding,-0.21923015,-0.9102466,-0.69101644,"chrX:135,520,643-135,582,510 (+)"
ENSG00000178947.8,0.0,0.0,0,150,SMIM10L2A,chrX,135421943,135428074,+,protein_coding,-0.6859042,-1.2818103,-0.5959061,"chrX:135,421,943-135,428,074 (+)"
ENSG00000173275.12,0.0,0.0,0,150,ZNF449,chrX,135344796,135363152,+,protein_coding,-0.43635988,-0.70923555,-0.27287567,"chrX:135,344,796-135,363,152 (+)"
ENSG00000186376.14,0.0,0.0,0,150,ZNF75D,chrX,135248920,135344087,-,protein_coding,-0.26094064,-0.39069727,-0.12975663,"chrX:135,248,920-135,344,087 (-)"
ENSG00000196972.8,0.0,0.0,0,150,SMIM10L2B,chrX,135094987,135098634,-,protein_coding,-0.89395595,-1.3527727,-0.45881677,"chrX:135,094,987-135,098,634 (-)"
ENSG00000203950.6,0.0,0.0,0,150,FAM127B,chrX,135050932,135052196,-,protein_coding,1.3328958,1.2404947,-0.09240103,"chrX:135,050,932-135,052,196 (-)"
ENSG00000134590.13,0.0,0.0,0,150,FAM127A,chrX,135032366,135033546,+,protein_coding,1.9625167,1.610737,-0.3517797,"chrX:135,032,366-135,033,546 (+)"
ENSG00000212747.4,0.0,0.0,0,150,FAM127C,chrX,135020504,135022529,-,protein_coding,0.52815825,0.39818773,-0.12997052,"chrX:135,020,504-135,022,529 (-)"
ENSG00000184785.5,0.0,0.0,0,150,SMIM10,chrX,134990938,134992473,+,protein_coding,0.17398785,-0.58552325,-0.7595111,"chrX:134,990,938-134,992,473 (+)"
ENSG00000101928.12,0.0,0.0,0,150,MOSPD1,chrX,134887626,134915267,-,protein_coding,-0.28533193,0.048820995,0.33415294,"chrX:134,887,626-134,915,267 (-)"
ENSG00000156500.14,0.0,0.0,0,150,FAM122C,chrX,134796789,134854610,+,protein_coding,-1.2998978,-1.3266907,-0.026792884,"chrX:134,796,789-134,854,610 (+)"
ENSG00000156504.16,0.0,0.0,0,150,FAM122B,chrX,134769566,134797232,-,protein_coding,0.40336093,0.4505543,0.04719338,"chrX:134,769,566-134,797,232 (-)"
ENSG00000170965.9,0.0,0.0,0,150,PLAC1,chrX,134565838,134764322,-,protein_coding,-2.0270836,-1.2958306,0.731253,"chrX:134,565,838-134,764,322 (-)"
ENSG00000165704.14,0.0,0.0,0,150,HPRT1,chrX,134460153,134520513,+,protein_coding,0.5063601,1.0182397,0.5118796,"chrX:134,460,153-134,520,513 (+)"
ENSG00000156531.16,0.0,0.0,0,150,PHF6,chrX,134373253,134428791,+,protein_coding,-0.35274377,0.026001068,0.37874484,"chrX:134,373,253-134,428,791 (+)"
ENSG00000203952.9,0.0,0.0,0,150,CCDC160,chrX,134237047,134246207,+,protein_coding,-1.1722724,-0.5824298,0.5898426,"chrX:134,237,047-134,246,207 (+)"
ENSG00000147257.13,0.0,0.0,0,150,GPC3,chrX,133535745,133985895,-,protein_coding,1.5714124,-0.10177218,-1.6731846,"chrX:133,535,745-133,985,895 (-)"
ENSG00000076716.8,0.0,0.0,0,150,GPC4,chrX,133300103,133415490,-,protein_coding,-0.11525785,0.45414644,0.5694043,"chrX:133,300,103-133,415,490 (-)"
